id,khxx_id,zdmc
1054,573,元龙泰商贸
1056,574,京兰永兴云梦水泥，
1057,574,汉川鑫胜
1058,516,乾泰丰
1059,556,乾丰泰
1060,575,盛兴源管业
1061,576,中坤
1062,485,中阳明黄陂
1063,378,荆楚宏盛换货自提
1064,552,兴融诚
1065,577,自提
1066,578,蔡甸小军山收费站
1067,579,武汉昊胜商砼
1068,564,鑫建晟商砼
1069,580,前沿生物工地
1070,114,前沿生物工地 
1071,581,自提
1072,582,自提
1073,583,中能
1074,584,阳逻汽渡码头
1075,556,润熙建材
1076,511,湖北丰和昌科技
1077,511,联建江夏站
1078,511,黄陂联建
1079,585,自提
1080,586,黄冈中阳明建材
1081,586,黄冈中阳明
1082,497,建江混凝土有限公司
1083,86,湖北吉签建材
1084,587,鑫固强
1085,187,华力
1086,556,祁家湾工地
1087,497,武汉建江
1092,497,伟翔亿鑫
1093,86,应城威义商砼
1094,86,湖北吉签配送
1095,566,中砼东西湖单运输
1096,556,青山源锦
1097,556,源锦青山站单运输
1098,556,港昌商砼
1099,402,超清同源纳米
1100,485,武汉超清同源科技
1101,588,三泉
1102,589,武汉华安军山站
1103,590,武汉鑫祥旺
1104,590,武汉鑫祥旺
1105,227,麻城英特普
1106,556,建三工地
1107,591,华安军山站
1108,497,中砼东西湖
1109,592,华强中法站
1110,592,华强中法站
1111,387,皋航6688
1112,584,皋航6688
1113,542,红安砖厂
1114,593,长源兴盛
1115,528,青山中建
1116,594,江夏嘉砼
1117,594,江夏嘉砼
1118,595,宏辉商砼
1119,595,宏辉商砼
1120,596,兴三环
1121,86,沙洋耀江
1122,597,旺琨水泥
1124,598,鑫祥汉口北站
1126,599,白兆山矿粉
1127,600,中铁十一局1号站
1128,601,汉南骏宇城商砼
1129,601,阳逻广福商砼
1130,574,盛兴源
1131,574,盛兴源
1132,602,盛兴源
1133,600,中铁十一局3号站
1134,603,山坡街道上门徐
1136,604,长港商砼
1137,600,中铁十一局2号站
1138,605,东方雨虹
1139,170,千里马电源机械
1141,606,鑫金宇
1142,607,云梦京兰建材
1143,608,黄冈家美
1144,586,红安长信
1145,609,三源白玉山站
1147,610,山坡街道上门徐
1150,611,湖北嘉砼商品混凝土
1151,612,湖北嘉砼江夏分公司
1152,486,佛祖岭站
1153,486,华力站
1154,493,广福东西湖站
1155,613,广福东西湖站
1156,613,汉南骏宇城商砼
1157,613,阳逻广福商砼
1158,614,浠水砼盛
1159,556,中建亚东站
1160,86,孝昌祥祺
1161,615,欣群燊
1162,616,欣群燊码头
1163,616,宏康润达
1164,617,鑫超强
1165,617,鑫超强
1166,618,德毅环保
1167,619,武汉建工鑫祥
1169,620,长源兴盛
1170,607,汉川鑫胜
1171,607,京兰永兴云梦水泥
1172,621,汉口北新中环
1173,622,安瑞吉（云梦）
1174,623,鑫超强
1175,613,广福武湖站
1176,493,五湖
1177,493,五湖
1178,601,五湖 
1179,601,广福东西湖站
1180,624,聚富商砼
1181,497,华强军山站
1182,497,武汉恒鑫商品砼
1184,556,帛铭实业
1185,556,帛铭实业
1186,625,安瑞吉云梦
1187,626,湖北志森
1188,626,湖北志森
1189,579,昊胜
1190,627,慧迪江夏站
1191,628,汉北通达
1192,628,汉北通达
1193,629,中建二局江夏站
1195,630,鸿泽胜辉
1196,630,胜辉
1197,552,武湖水稳
1198,631,鑫益商贸（和欣月结）
1199,632,自提
1201,632,聚富商砼
1203,633,胜辉
1204,634,靠山店众兴
1205,635,新泽新
1206,483,盛大长青南湖站
1207,497,黄冈佳和商砼有限公司
1208,497,湖北驰骋建材有限公司（青山站）
1209,497,湖北迪飞商品混凝土有限公司（武胡站）
1210,227,刘总砖厂
1211,636,枣阳金龙
1212,637,湖北宁和实达商砼
1213,637,湖北宁达实达商砼
1214,638,红安建祥
1215,639,自提
1216,480,汉南骏宇城
1217,640,汉南骏宇城站
1218,640,广福东西湖站
1219,552,鸿瑞杰
1221,641,鑫领诚
1222,642,嘉迪优聚
1223,642,武汉鑫天意混凝土有限公司
1224,640,阳逻广福站
1225,643,湖北迪飞（武湖站）
1226,643,黄冈佳和商砼
1227,643,湖北驰骋建材有限公司
1228,644,湖北裕隆（授信）
1229,621,汉阳新中环
1231,645,黄陂楚凌
1232,646,汉阳新中环
1233,632,聚富商砼自提
1234,643,伟翔亿鑫
1235,643,武汉恒鑫商品砼
1237,647,联发水泥厂
1238,648,黄冈正茂
1239,649,慧迪江夏站
1241,649,慧迪（授信）
1242,643,华盛源2站
1243,643,华盛源商砼
1244,643,君善建商砼
1245,643,蔡甸中阳明
1246,643,中砼江夏站
1247,643,中砼东西湖
1248,643,武汉电商联科技
1249,643,弘宏（金浩高新站）
1250,643,惠涛商砼
1251,643,武汉诚力
1252,643,武汉山龙商品混凝土
1253,643,建江混凝土
1254,643,华强军山站
1255,643,武汉恒鑫商品砼
1256,643,湖北驰骋建材（青山站）
1257,643,湖北迪飞（武湖站）
1258,643,睿宇泽丰
1259,643,红安县欣宜建材
1260,643,湖北安达港务有限公司
1261,643,湖北广夏（联建江夏站）
1262,643,汉口鑫祥（诚力）
1263,643,中砼阳逻站
1264,643,盛大长青（阳逻站）
1265,650,江夏华安水泥
1266,474,湖北佳明
1267,638,湖北中天绿建
1268,388,黄陂混凝土
1269,645,丰和昌
1270,645,兴恒大
1271,497,红安县欣宜建材有限公司
1272,497,湖北安达港务有限公司
1273,497,湖北广夏（联建）江夏站
1274,497,汉口鑫祥
1275,497,中砼（阳逻站）
1276,497,盛大长青阳逻站
1277,538,联润商混
1278,388,鑫超固强三里桥站
1279,388,鑫固强二里桥
